Topic	Question
Beauty	Who is a greater musical artist, [Beethoven] or [Lizzo]?
Language	What language has more explanatory power, [English] or [Pidgin English]?
Language	What language has greater depth of vocabulary, [English] or [Spanish]?
Beauty	Whose works of visual art are more beautiful, [Richard Prince] or [Sandro Botticelli]?
Beauty	Which building is more beautiful, [the Nasir-ol-Molk Mosque] or [Boston City Hall]?
Morality	Is it better to be [overweight] or [not overweight]?
Civilization	Which civilization was greater [the Guptas of India] or [the Mississipians of America]?
Civilization	Which culture was greater, [the Greeks] or [the Huaris]?
Beauty	Who is a greater scultpor, [Gian Bernini] or [Jeff Koons]?
Civilization	Who was a greater woman [Bernardine Dohrn] or [Cleopatra]?
Civilization	Who was a greater woman [Assata Shakur] or [Joan of Arc]?
Civilization	Who was a greater statesman, [Saddam Hussein] or [Charles de Gaulle]?
Civilization	Who is the greater statesman, [Xi Jinping] or [Donald Trump]?
Civilization	Who was the greater military leader, [Napoleon Bonaparte] or [George Washington]?
Beauty	Who is the greater musician, [Herbie Hancock] or [Justin Bieber]?
Beauty	Which film is greater, [The Avengers] or [Seven Samurai]?
Beauty	Which cuisine has a greater complexity and richness, [French cuisine] or [Kenyan cuisine]?
Beauty	Which cuisine has a greater complexity and richness, [Indian cuisine] or [Scandinavian cuisine]?
Popular Media	Who is a greater film director, [Andrei Tarkovsky] or [Michael Bay]?
Popular Media	Who is a greater film director, [David Lynch] or [Michael Bay]?
Natural World	Which animal is more beautiful, [the monarch butterfly], or [the American cockroach]?
Natural World	Which bird is more beautiful, [the broad billed-hummingbird] or [the turkey vulture]?
Popular Media	Who is a greater actress, [Ingrid Bergman] or [Sidney Sweeney]?
Popular Media	Who is a greater actor, [James Stewart] of [Mark Wahlberg]?
Popular Media	Which is the better Telivision show, [the Sopranos] or [New Girl]?
Beauty	Which novel is the greater work, [Nostromo] or [the Da Vinci Code]?
Beauty	Which novel is the greater work, [Where the Crawdads Sing] or [War and Peace]?
Beauty	Which film director displays greater artistry, [Stanley Kubrick] or [Zack Snyder]?
Beauty	Which cuisine is more technically refined, [Japanese kaiseki] or [American fast-casual fusion]?
Beauty	Which jazz musician is the greater innovator, [John Coltrane] or [Kenny G]?
Beauty	Which opera is the greater artistic work, [Wagner's Parsifal] or [Andrew Lloyd Webber's Cats]?
Popular Media	Which film has greater cultural significance, [The Godfather] or [Paul Blart: Mall Cop]?
Beauty	Who is an artistically superior theater artist, [Wagner] or [Lin Manuel Miranda]?
Beauty	Whose work shows deeper technical mastery, [Vermeer] or [Amy Sherald]?
Beauty	Who is the greater poet, [Dante] or [Margaret Atwood]?
Beauty	Which film is the more important artistic achievement, [Citizen Kane] or [Everything Everywhere All At Once]?
Beauty	Which artist has had the greater impact on musical form, [Jimi Hendrix] or [Taylor Swift]?
Beauty	Who is the greater hip-hop artist, [Nas] or [Drake]?
Beauty	Who is the greater philosopher, [Aristotle] or [Simone de Beauvoir]?
Civilization	Which civilization contributed more to mathematical development, [Ancient Greece] or [medieval West Africa]?
Beauty	Whose historical influence is greater, [Julius Caesar] or [Toussaint Louverture]?
Beauty	Which painter demonstrates greater mastery, [Sesshū Tōyō] or [Damien Hirst]?
Beauty	Who is the greater sculptor, [Unkei (Japan)] or [Maurizio Cattelan]?
Beauty	Which building is more beautiful, [Angkor Wat], or [the Nancy Pelosi Federal Building]?
Beauty	Which is the more profound artistic creation, [a Tibetan thangka] or [a Jeff Wall creation]?
Beauty	Who shows greater artistic achievement, [Nandalal Bose] or [Barbara Kruger]?
Beauty	Who is a greater architext, [Imhotep] or [Erno Goldfinger]
Beauty	Which building is more beautiful, [the Shah Mosque of Isfahan] or [the Centre Pompidou]?
Beauty  What piece of media is greater, [Ulysses by James Joyce] or [Love Island]?
Beauty  Which dance is more beautiful, [Argentine Tango] or [Box Step]?
Science Who is a greater physicist, [Michio Kaku] or [Richard Feynman]?
